Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"7/Hand",2.1068374679113428e-4,2.0940423374995592e-4,2.135113911392788e-4,4.691161132525305e-6,2.48024723944888e-6,8.508464782570841e-6
"7/SYB",1.9528842190280561e-3,1.9395995358005168e-3,1.9709468105807903e-3,3.999177035486329e-5,3.1066584318166705e-5,4.831899218649325e-5
"7/Uni",4.849171711131929e-4,4.806002053742607e-4,4.92692795706292e-4,1.4594279195093691e-5,9.173267073969675e-6,2.386934761905447e-5
"8/TYB",2.295184353366494e-4,2.2793533597141507e-4,2.3546936307102442e-4,7.250995884647754e-6,9.793558874304582e-7,1.479989931158675e-5
"8/Hand",3.096479231957346e-4,2.983802611473948e-4,3.33954697335139e-4,4.0832238941402076e-5,1.5486703730270614e-5,6.375963179267797e-5
"8/SYB",2.1715998867526654e-3,2.158782503940165e-3,2.1922278622165323e-3,4.1761895857213216e-5,2.750625479039373e-5,6.026906672225406e-5
"8/Uni",6.096323403840263e-4,5.824049386506279e-4,6.574400338654716e-4,9.199991221350958e-5,5.6444602408714035e-5,1.2681360466208278e-4
"9/TYB",2.27925799228251e-4,2.2587539944797754e-4,2.3215057644993065e-4,7.554834841862726e-6,3.872302346317052e-6,1.1059838457234928e-5
"9/Hand",2.830767675116658e-4,2.818465276435017e-4,2.8554106194525963e-4,4.373671268956631e-6,2.6103179855843106e-6,8.156935744058644e-6
"9/SYB",2.166640780307352e-3,2.1588778713718063e-3,2.179772875644267e-3,2.5811704535107403e-5,1.5500098961317992e-5,3.766031831466421e-5
"9/Uni",5.662401589875419e-4,5.616116596385835e-4,5.766542825226982e-4,1.7097853292182605e-5,6.319245180614934e-6,2.8883071975294696e-5
"10/TYB",8.301498685032131e-5,8.196594510227443e-5,8.509399686008693e-5,3.8059949955777097e-6,1.949111377148743e-6,5.497207273956987e-6
"10/Hand",8.217249753485832e-5,8.178217226107208e-5,8.278557388111949e-5,1.2534726428923715e-6,8.450845838137694e-7,1.7845778993823403e-6
